0,0,0,0,0,0,0,0,0,0,0,1.5708,60,60,0.000213541,0.000218863
0.00357355,1.82619e-08,6.202e-05,-1.8945e-08,6.92118e-05,-1.35446e-11,-4.64229e-10,8.94029e-05,1.67365e-06,-6.08423e-10,1.79397e-06,1.5708,49.5037,49.5007,0.743098,-0.74306
0.00712928,3.51384e-08,9.38667e-05,-2.86688e-09,0.000123006,-1.54322e-09,-1.79733e-09,0.000357037,5.69121e-06,-1.05631e-09,6.66193e-06,1.5708,49.8237,49.8143,0.7569,-0.756886
0.0106628,5.13545e-08,9.77485e-05,6.02129e-09,0.000162124,-2.49229e-09,-3.95911e-09,0.000801901,1.05825e-05,-9.1698e-10,1.38474e-05,1.5708,50.446,50.4046,0.781456,-0.780779
0.01417,9.47237e-08,7.87345e-05,-2.95279e-08,0.000188131,-1.98167e-09,-7.62617e-09,0.00142278,1.50634e-05,-1.75243e-09,2.26529e-05,1.5708,47.6105,47.564,0.648619,-0.64746
0.0176512,1.7965e-07,4.36053e-05,-5.76968e-08,0.000203147,-2.68536e-09,-1.45046e-08,0.00221837,1.81504e-05,-4.16017e-09,3.24748e-05,1.5708,50.7478,50.701,0.793736,-0.793069
0.0211008,2.80427e-07,-4.71134e-07,-2.35074e-08,0.000209318,-5.96722e-09,-2.60103e-08,0.00318723,1.9213e-05,-5.9993e-09,4.2817e-05,1.5708,50.2181,50.1675,0.772887,-0.772231
0.0245175,3.98028e-07,-4.66362e-05,-9.31509e-09,0.000208789,-7.53119e-09,-4.29815e-08,0.00432774,1.79746e-05,-6.74116e-09,5.32917e-05,1.5708,50.3545,50.2801,0.777929,-0.776822
0.0278994,5.48787e-07,-8.91201e-05,-4.04099e-08,0.000203436,-6.13089e-09,-6.66774e-08,0.00563821,1.4477e-05,-8.2154e-09,6.3612e-05,1.5708,51.1576,51.1009,0.809776,-0.809301
0.031244,7.01123e-07,-0.000123653,-1.40705e-08,0.000194749,-6.07243e-09,-9.79346e-08,0.00711685,9.01448e-06,-9.42789e-09,7.35758e-05,1.5708,48.6682,48.6934,-0.703139,0.707224
