ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
-0.0126187,-0.0704036,-9.83496,-0.9566825,-0.0059318068,0.01881939,0.29046384,79.9985,2.28565e-05,-73.861,-0.03329632,0.098954394,0.003894275,-0.00529063,-0.000788436,0.00409718
0.0561092,-0.00615723,-9.83668,-0.9567127,-0.0058169984,0.018874696,0.29036292,79.9986,2.38531e-05,-73.9451,-0.033229917,0.098956324,0.003906408,-0.00511933,-0.000786717,0.00408578
0.0859619,0.0115506,-9.83177,-0.95674115,-0.005703461,0.018929703,0.29026803,79.9987,2.43277e-05,-74.0231,-0.033178743,0.098952085,0.00391849,-0.0050629,-0.000786511,0.00390699
-0.0618277,0.00796112,-9.87386,-0.95676804,-0.00558432,0.0189864,0.290178,79.9988,2.47753e-05,-74.0914,-0.033123147,0.09895469,0.0039312495,-0.00529141,-0.000786511,0.00361384
-0.0271152,-0.0368318,-9.81384,-0.9567937,-0.0054694484,0.019041793,0.2900919,79.999,2.31238e-05,-74.0872,-0.033061873,0.09896618,0.003943648,-0.00511012,-0.00078662,0.00349479
-0.0870226,0.0179284,-9.85559,-0.9568187,-0.005360538,0.019095395,0.29000792,79.9991,2.15755e-05,-74.0834,-0.032991566,0.09898023,0.0039557903,-0.00485972,-0.000786603,0.00340482
0.0107986,0.086405,-9.7802,-0.95684344,-0.005252327,0.01914879,0.28992483,79.9992,2.0782e-05,-74.1053,-0.032917812,0.09898819,0.003968232,-0.00483026,-0.000787299,0.00340885
0.0250584,-0.0492085,-9.79599,-0.9568674,-0.005135232,0.019204907,0.28984413,79.9993,2.00384e-05,-74.1244,-0.03285726,0.09897902,0.003981192,-0.00519932,-0.00078893,0.00324889
0.0539757,-0.0829548,-9.81348,-0.95688903,-0.00500837,0.0192641,0.289771,79.9994,1.877e-05,-74.1236,-0.03282515,0.0989682,0.0039942362,-0.00560171,-0.000790826,0.00293795
0.0497155,0.0583317,-9.78803,-0.9569081,-0.0048740907,0.019325403,0.28970605,79.9995,1.75809e-05,-74.1229,-0.032812137,0.098942794,0.004007157,-0.00590519,-0.000790127,0.00261267
0.0153424,-0.0319518,-9.78032,-0.95692605,-0.0047446904,0.0193853,0.28964502,79.9991,1.21457e-05,-73.9531,-0.032792896,0.09892547,0.004019013,-0.00569681,-0.000789495,0.00242793
0.0488592,-0.000188889,-9.78257,-0.95694304,-0.0046349703,0.019439202,0.28958702,79.999,7.05302e-06,-73.8045,-0.03274399,0.098924614,0.004029457,-0.00487232,-0.000788604,0.00231726
-0.0816917,-0.0350369,-9.78814,-0.95695883,-0.0045354394,0.019489897,0.28953296,79.9985,1.43463e-06,-73.6031,-0.03268365,0.0989485,0.004039668,-0.00444229,-0.000788416,0.00215253
0.00173295,-0.0158616,-9.77114,-0.95697373,-0.0044321185,0.019541794,0.2894819,79.9983,-3.82531e-06,-73.427,-0.032625705,0.09897572,0.004051396,-0.00459847,-0.000786806,0.002032
-0.0304848,0.0394592,-9.76532,-0.95698756,-0.0043156124,0.01959761,0.28943416,79.998,-8.47313e-06,-73.2372,-0.0325775,0.0990122,0.004064958,-0.00514603,-0.000785912,0.00189026
0.0520596,0.0172443,-9.79332,-0.95700026,-0.004191861,0.019655606,0.2893901,79.9979,-1.28251e-05,-73.0712,-0.032538336,0.099035636,0.0040794197,-0.00544553,-0.000784387,0.00174544
-0.0366479,0.00152907,-9.82425,-0.95701265,-0.0040687285,0.019713392,0.2893469,79.997,-1.94541e-05,-72.7867,-0.032494847,0.09904519,0.004093721,-0.00541823,-0.000784814,0.00167019
-0.0119049,0.058968,-9.80612,-0.95702314,-0.0039485404,0.019770402,0.28931004,79.9964,-2.56525e-05,-72.5378,-0.03243514,0.09906118,0.004107288,-0.00529103,-0.00078737,0.00144402
0.0424601,0.0416809,-9.76369,-0.95703393,-0.0038362297,0.019824998,0.28927198,79.9956,-3.16951e-05,-72.2457,-0.032370687,0.09909233,0.0041198526,-0.00496333,-0.000789554,0.00147621
-0.0170296,0.0487272,-9.81359,-0.95385236,-0.0006465062,0.014582405,0.2999211,79.9951,-3.7347e-05,-71.9903,-0.034486245,0.09842054,0.0030392753,-0.0525143,0.23672,-0.446193
0.00575978,-0.090055,-9.90722,-0.9538613,-0.00053389516,0.014638404,0.2998901,79.9947,-4.15678e-05,-71.7388,-0.034404207,0.09845797,0.0030518386,-0.00498611,-0.000779074,0.00122898
0.0376082,0.0432931,-9.82076,-0.9538687,-0.00041769687,0.014695396,0.2998639,79.9946,-4.55208e-05,-71.5188,-0.03433485,0.098503955,0.0030645595,-0.00513307,-0.000779142,0.00100098
-0.0109622,0.0439445,-9.75497,-0.95387506,-0.00029645802,0.014754001,0.29984102,79.9944,-4.87846e-05,-71.2837,-0.034275822,0.09854538,0.0030778022,-0.00534156,-0.000777197,0.000852457
-0.0422157,-0.0842531,-9.81753,-0.9538811,-0.00017851901,0.014811502,0.29981902,79.9944,-5.18487e-05,-71.0781,-0.034212396,0.098589934,0.003090791,-0.00520299,-0.000775583,0.000872775
0.072413,-0.0012295,-9.83276,-0.9538881,-6.856491e-05,0.014866401,0.29979405,79.9942,-5.47202e-05,-70.8435,-0.034140732,0.09864125,0.003103474,-0.00486899,-0.00077482,0.000944643
