ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
-0.000506823,0.00543528,-9.80923,0.86129206,-0.00037222603,0.00020088001,-0.50811005,98.4238,0.00163288,-120.017,-0.14021328,0.07126994,-8.843014e-06,-0.000619186,7.38228e-05,-0.0214527
-0.000866157,0.0053851,-9.80962,0.861053,-0.000380351,0.000207131,-0.508515,99.195,0.00167129,-125.799,-0.14054579,0.07075583,-3.9989823e-06,-0.000509074,7.27323e-05,-0.0235464
-3.14718e-05,0.00518888,-9.81013,0.86079186,-0.00038612593,0.00021189297,-0.5089569,99.9949,0.00170517,-132.016,-0.14090692,0.07024871,1.073306e-06,-0.000370108,6.93318e-05,-0.0256775
0.000374715,0.0042247,-9.81062,0.8605079,-0.00039066296,0.00021587797,-0.5094369,100.623,0.0017343,-137.808,-0.14129037,0.06974725,6.054003e-06,-0.000297064,6.83233e-05,-0.0278675
0.00011914,0.00440516,-9.80978,0.860201,-0.00039401298,0.00021883899,-0.509955,101.1,0.00175916,-143.191,-0.14168759,0.069250114,1.0676935e-05,-0.000219947,5.54535e-05,-0.0300719
-0.000364612,0.00447712,-9.80952,0.8598718,-0.0003955829,0.00022076594,-0.51050985,101.494,0.00176631,-148.44,-0.1420942,0.06875885,1.4444947e-05,-0.000117087,5.7411e-05,-0.0322911
-0.00041122,0.00445945,-9.80911,0.85951924,-0.00039515813,0.00022152007,-0.51110315,101.77,0.00176977,-153.3,-0.14250255,0.068272606,1.7170074e-05,-1.39966e-06,5.88927e-05,-0.0344982
-0.00143538,0.00338985,-9.81022,0.8589598,-0.0003836399,0.00021343495,-0.5120429,102.046,0.00176979,-158.423,-0.1429612,0.0676908,1.901828e-05,0.00070094,-2.83603e-05,-0.0546648
-0.000149485,0.0033318,-9.80995,0.8585611,-0.00037959105,0.00021178102,-0.51271105,102.221,0.0017665,-163.158,-0.14336716,0.06721773,1.924582e-05,0.000215738,4.97189e-05,-0.0389157
-0.000245155,0.00324989,-9.80983,0.8581391,-0.00037434304,0.00020927202,-0.51341707,102.315,0.00176041,-167.523,-0.14376597,0.06675092,1.8468738e-05,0.000289076,4.46633e-05,-0.0411207
-0.000623818,0.00255716,-9.8102,0.85769486,-0.00036775492,0.00020595596,-0.5141589,102.347,0.00173858,-171.544,-0.14415279,0.06629097,1.6844873e-05,0.000367275,4.53927e-05,-0.0432681
-0.000408153,0.00156472,-9.80904,0.8572279,-0.00035959797,0.00020143599,-0.514937,102.33,0.00171502,-175.235,-0.14452569,0.0658393,1.4643379e-05,0.000465406,3.4999e-05,-0.0453744
-7.74484e-05,0.00122319,-9.81022,0.85673857,-0.00034964384,0.0001957779,-0.51575077,102.324,0.00169025,-179.108,-0.14488344,0.06539617,1.1905166e-05,0.000571716,3.3298e-05,-0.0474497
-0.000252279,0.00109482,-9.81014,0.856228,-0.000338671,0.00018977899,-0.516598,102.279,0.0016641,-182.656,-0.1452264,0.06496314,8.8173865e-06,0.000624107,4.58244e-05,-0.0494631
-0.0011532,0.000609788,-9.81029,0.85569584,-0.00032734996,0.00018330297,-0.51747894,102.205,0.00163698,-185.9,-0.14555104,0.06453842,5.776048e-06,0.00065129,3.50992e-05,-0.0514481
-0.000348443,0.000428356,-9.80973,0.855143,-0.000315388,0.000176585,-0.518392,102.103,0.00159786,-188.748,-0.14585686,0.06412318,2.8828003e-06,0.000684945,4.21238e-05,-0.0533494
-0.0011672,-0.00121103,-9.80972,0.85457075,-0.00030251092,0.00016915695,-0.51933485,101.989,0.00155876,-191.342,-0.14614315,0.06371903,3.4028858e-07,0.000742428,3.60705e-05,-0.0551898
-0.000952003,-0.00234347,-9.8115,0.85397846,-0.00028842114,0.00016115008,-0.52030826,101.895,0.00152095,-194.122,-0.1464113,0.06332566,-1.926496e-06,0.000809222,4.35131e-05,-0.0569687
-0.000947319,-0.00247102,-9.81024,0.8533672,-0.00027431807,0.00015289705,-0.52131015,101.791,0.00148327,-196.654,-0.14666061,0.062942535,-3.714352e-06,0.000816135,3.38292e-05,-0.0586801
-0.000355786,-0.00299808,-9.80964,0.8525993,-0.00024407908,0.00013526104,-0.5225652,101.681,0.00144595,-198.956,-0.14692463,0.06249133,-5.556173e-06,0.00174903,5.87698e-05,-0.0735393
-0.000723774,-0.00358271,-9.80926,0.8519519,-0.00023038598,0.00012719398,-0.52361995,101.564,0.00140061,-200.918,-0.147137,0.062127765,-6.3518387e-06,0.000793697,3.11668e-05,-0.0619185
-0.000681948,-0.00368899,-9.80916,0.8512871,-0.00021615703,0.00011903202,-0.5247001,101.449,0.00135635,-202.697,-0.1473312,0.0617741,-6.7405745e-06,0.000819056,4.15279e-05,-0.0634122
-0.000973465,-0.00394281,-9.8109,0.8506058,-0.00020173096,0.000110581976,-0.52580386,101.354,0.00131522,-204.703,-0.14750952,0.061430577,-6.7134806e-06,0.000834917,3.47498e-05,-0.064841
-0.00043258,-0.00482345,-9.81036,0.84990877,-0.00018772694,0.00010237197,-0.52692986,101.259,0.00127505,-206.523,-0.14767088,0.061095316,-6.348657e-06,0.000810626,3.42175e-05,-0.0662126
-0.00087052,-0.0061919,-9.81112,0.8491963,-0.00017416207,9.4431634e-05,-0.5280772,101.166,0.00123593,-208.172,-0.1478186,0.060768675,-5.695027e-06,0.00078484,3.43636e-05,-0.0675153
-0.000244944,-0.00551098,-9.80959,0.84846973,-0.00016130596,8.7021974e-05,-0.5292438,101.073,0.00119198,-209.576,-0.14795117,0.060449522,-4.8097004e-06,0.000740686,3.84363e-05,-0.0687519
-0.000111357,-0.00559942,-9.80993,0.8477288,-0.00014856797,7.9724385e-05,-0.5304299,100.985,0.00114951,-210.847,-0.14807086,0.060138173,-3.7584289e-06,0.000732698,4.02807e-05,-0.069911
-0.0011281,-0.00622694,-9.80943,0.84697413,-0.00013579102,7.229041e-05,-0.5316341,100.913,0.001111,-212.378,-0.14817831,0.059833515,-2.6180332e-06,0.000737933,3.57138e-05,-0.0710225
-2.90258e-05,-0.0074245,-9.81103,0.84620714,-0.00012356201,6.527521e-05,-0.5328541,100.843,0.00107371,-213.765,-0.14827406,0.05953486,-1.4853898e-06,0.000703536,3.90272e-05,-0.0720699
-0.00127492,-0.00768647,-9.81027,0.84542775,-0.00011238596,5.8631682e-05,-0.5340898,100.776,0.00103768,-215.018,-0.14835894,0.059240773,-2.8953536e-07,0.000649097,2.68639e-05,-0.073073
-0.0007274,-0.00772328,-9.81008,0.844636,-0.000101704005,5.23903e-05,-0.535341,100.711,0.00099876,-216.108,-0.14843518,0.058951393,8.311784e-07,0.000617419,3.07634e-05,-0.0740299
-5.70449e-05,-0.00849101,-9.81051,0.84383297,-9.12719e-05,4.6349298e-05,-0.53660595,100.651,0.000961325,-217.092,-0.14850111,0.05866586,1.8490831e-06,0.000601512,3.26605e-05,-0.0749116
-0.000523288,-0.00825879,-9.8093,0.84328145,-6.373863e-05,2.8909115e-05,-0.53747225,100.603,0.000928539,-218.406,-0.14850223,0.05852872,2.422091e-06,0.00162909,8.12966e-06,-0.0513528
-0.000698577,-0.00938482,-9.81003,0.8424573,-5.4263615e-05,2.3330007e-05,-0.53876317,100.557,0.000896905,-219.594,-0.14855455,0.05824909,3.142169e-06,0.000548673,2.46925e-05,-0.0765567
-0.000960166,-0.00969323,-9.81027,0.84162325,-4.5472912e-05,1.8226005e-05,-0.54006517,100.512,0.000866434,-220.667,-0.1486002,0.057970848,3.6871402e-06,0.000507037,2.63164e-05,-0.0773065
-0.000470291,-0.00951149,-9.80981,0.84077924,-3.750091e-05,1.3591904e-05,-0.54137814,100.471,0.000834424,-221.672,-0.14863963,0.057693206,4.094452e-06,0.000459884,2.40161e-05,-0.0780427
-0.000183583,-0.0094755,-9.81042,0.83992594,-2.98378e-05,9.1905795e-06,-0.542701,100.432,0.000803676,-222.58,-0.14867382,0.057416596,4.3367604e-06,0.000440587,2.54646e-05,-0.0787257
-0.000600995,-0.00990168,-9.81024,0.8390631,-2.2190903e-05,4.7261206e-06,-0.54403406,100.402,0.000776695,-223.78,-0.1487034,0.057139672,4.4118365e-06,0.000441612,2.23942e-05,-0.07938
-0.000706552,-0.0102107,-9.80981,0.8381917,-1.5135894e-05,8.7512666e-07,-0.54537576,100.372,0.000750709,-224.865,-0.14872953,0.056862433,4.2663282e-06,0.000400082,3.20404e-05,-0.0800061
-0.000489874,-0.010824,-9.80973,0.8373114,-8.822064e-06,-2.7599913e-06,-0.5467263,100.344,0.000725718,-225.844,-0.14875169,0.05658365,4.064665e-06,0.00036313,2.0886e-05,-0.0806111
-0.000383162,-0.0104959,-9.81065,0.83642274,-2.8075592e-06,-6.2168183e-06,-0.54808486,100.317,0.0006991,-226.748,-0.14877087,0.056303643,3.7656234e-06,0.000345718,2.01688e-05,-0.081165
-0.000782167,-0.0115269,-9.81017,0.83552593,2.9645998e-06,-9.56178e-06,-0.549451,100.291,0.000673569,-227.563,-0.14878705,0.0560225,3.3992933e-06,0.000332514,1.82047e-05,-0.0817053
-0.00108801,-0.0123061,-9.81024,0.8346213,8.868633e-06,-1.3072305e-05,-0.55082417,100.271,0.000650972,-228.62,-0.14880143,0.055740006,2.9641208e-06,0.00034257,1.49047e-05,-0.0822131
-0.000964204,-0.0117748,-9.80863,0.833709,1.42524e-05,-1.6387501e-05,-0.552204,100.252,0.000629254,-229.575,-0.14881241,0.055454854,2.5122727e-06,0.000315476,8.7221e-06,-0.0827191
-0.0001337,-0.0122612,-9.80982,0.8327409,3.9461993e-05,-3.2395994e-05,-0.5536629,100.233,0.000608407,-230.437,-0.14883257,0.05514181,1.5871341e-06,0.00149236,2.68875e-05,-0.0875731
-0.0007855,-0.0123489,-9.80954,0.831813,4.43512e-05,-3.51132e-05,-0.555056,100.214,0.000585752,-231.195,-0.14883995,0.054851357,1.0548271e-06,0.00027837,1.79618e-05,-0.083646
-0.000839017,-0.0123073,-9.81018,0.8308786,4.9008177e-05,-3.7953683e-05,-0.5564537,100.197,0.000564063,-231.879,-0.14884666,0.05455959,6.245117e-07,0.000272136,6.36596e-06,-0.0840808
-0.000299109,-0.0129497,-9.81014,0.82993704,5.3814703e-05,-4.0767303e-05,-0.55785704,100.183,0.000544634,-232.75,-0.14885205,0.05426531,1.8127724e-07,0.000277612,1.1617e-05,-0.0844937
-0.0006376,-0.0120601,-9.80942,0.82898897,5.8397596e-05,-4.3474898e-05,-0.55926496,100.17,0.00052601,-233.537,-0.14885622,0.053968392,-2.1532293e-07,0.000265375,9.7491e-06,-0.0849019
-0.000304201,-0.0128326,-9.81115,0.8280335,6.261566e-05,-4.5935773e-05,-0.56067866,100.157,0.000508174,-234.247,-0.14885944,0.05366806,-5.554176e-07,0.000243372,9.74895e-06,-0.0852762
-0.000437396,-0.0117401,-9.80984,0.827072,6.67121e-05,-4.83369e-05,-0.562096,100.144,0.000488413,-234.819,-0.14886141,0.05336512,-8.185691e-07,0.000236667,8.78243e-06,-0.0856439
-0.0011999,-0.0121706,-9.8107,0.82610387,7.087889e-05,-5.076529e-05,-0.56351787,100.131,0.000469537,-235.335,-0.14886303,0.05305983,-1.0158827e-06,0.000240351,9.59844e-06,-0.0860022
0.000393952,-0.0134657,-9.80988,0.8251299,7.5069096e-05,-5.3303196e-05,-0.56494296,100.122,0.000452431,-235.99,-0.14886428,0.052752372,-1.134657e-06,0.00024442,5.71307e-06,-0.0863324
-0.000784916,-0.012798,-9.81061,0.8241495,7.9183745e-05,-5.5814133e-05,-0.56637233,100.112,0.000436078,-236.58,-0.14886448,0.052441638,-1.1981729e-06,0.000240553,4.65686e-06,-0.086644
0.000216942,-0.0128455,-9.80919,0.82316303,8.28815e-05,-5.7893605e-05,-0.56780505,100.103,0.000420454,-237.112,-0.14886451,0.05212801,-1.243931e-06,0.00021117,1.05983e-05,-0.086961
