ax,ay,az,qw,qx,qy,qz,vE,vN,vD
-0.00406608,-0.00699882,-9.79263,0.9385517,0.0021508294,-0.0002601289,-0.34513187,0.18382026,-0.15525432,-0.00023627926
0.00876381,0.00501581,-9.80103,0.93854654,0.002153449,-0.00026131087,-0.34514585,0.18381615,-0.15525918,-0.00023618723
-0.0233765,-0.0116546,-9.7993,0.93854755,0.0021465311,-0.00028133817,-0.3451432,0.18381755,-0.15525754,-0.00022598557
-0.0101163,-0.0104725,-9.79904,0.9385402,0.0021428305,-0.00028114908,-0.34516308,0.18381155,-0.15526465,-0.00022547961
-0.0152145,0.0145846,-9.8136,0.9385318,0.0021496096,-0.00027852494,-0.34518594,0.1838046,-0.15527289,-0.00022780245
0.0200211,-0.0153938,-9.79773,0.93852484,0.0021538197,-0.00027873795,-0.34520492,0.18379894,-0.15527958,-0.00022841535
0.0101836,0.0223793,-9.7913,0.93851924,0.0021513605,-0.00027769507,-0.3452201,0.18379459,-0.15528475,-0.0002284944
0.0198033,-0.0205771,-9.8114,0.93851304,0.00214696,-0.00028706001,-0.34523702,0.18378966,-0.15529059,-0.0002235493
-0.0269242,0.0180421,-9.80868,0.9385053,0.0021480806,-0.0002807621,-0.3452581,0.18378337,-0.15529804,-0.00022660011
-0.0405396,-0.0145248,-9.78204,0.93849534,0.0021458708,-0.0002829361,-0.34528512,0.18377511,-0.1553078,-0.00022527813
-0.00463927,0.00945729,-9.82017,0.9384891,0.0021543903,-0.00027935402,-0.34530205,0.18377021,-0.15531361,-0.00022831418
0.00626465,-0.0038994,-9.80995,0.9384825,0.002157079,-0.00028031587,-0.34531984,0.18376501,-0.15531977,-0.00022833676
0.00441593,-0.00635875,-9.81423,0.93847585,0.0021571098,-0.00027809897,-0.34533796,0.1837597,-0.15532605,-0.0002293596
-0.00852559,-0.0156398,-9.81653,0.93846846,0.002151171,-0.00027606913,-0.34535816,0.18375367,-0.15533319,-0.00022931745
-0.018761,-0.01022,-9.81942,0.9384611,0.0021607804,-0.00027553205,-0.34537804,0.18374774,-0.15534021,-0.0002311597
-0.00996325,0.0110781,-9.80458,0.9384541,0.0021606502,-0.00027615204,-0.34539706,0.18374208,-0.15534693,-0.0002308745
-0.00983931,-0.00751919,-9.81304,0.93844604,0.00215619,-0.000271449,-0.34541902,0.1837354,-0.15535483,-0.00023228663
0.00438775,-0.00504747,-9.81015,0.93843794,0.00216245,-0.00027060197,-0.34544098,0.1837287,-0.15536276,-0.00023372036
0.0286156,-0.0267123,-9.80611,0.9384328,0.0021590197,-0.00026740294,-0.34545493,0.18372461,-0.15536758,-0.00023461346
0.0051184,-0.01176,-9.81879,0.93842506,0.0021587801,-0.00026977103,-0.34547603,0.18371814,-0.15537523,-0.00023352259
0.00343502,0.0204597,-9.81999,0.9384207,0.0021533694,-0.00026649292,-0.3454879,0.1837147,-0.15537931,-0.00023412322
-0.000339287,0.00713279,-9.79518,0.93841106,0.0021521102,-0.00026629702,-0.34551403,0.1837065,-0.15538901,-0.00023402946
-0.00990893,-0.0240751,-9.79971,0.93840486,0.0021555896,-0.00026303597,-0.34553096,0.18370134,-0.15539512,-0.00023609221
0.00232354,0.0034369,-9.80192,0.9383986,0.002156249,-0.0002645529,-0.34554785,0.18369614,-0.15540127,-0.00023553026
0.00943795,0.012411,-9.7992,0.9383927,0.0021548492,-0.00026590592,-0.3455639,0.1836912,-0.1554071,-0.00023470243
-0.0323923,-0.0212829,-9.82264,0.9383879,0.0021579098,-0.00027009196,-0.34557697,0.18368721,-0.15541182,-0.00023332523
-0.0131136,-0.0212713,-9.8185,0.9383835,0.002157929,-0.00027097887,-0.34558883,0.1836836,-0.1554161,-0.00023293767
-0.0131804,-0.00895681,-9.81085,0.93837935,0.002159851,-0.0002749911,-0.34560013,0.18368013,-0.1554202,-0.00023145
0.00506381,0.0105744,-9.81136,0.9383724,0.002158661,-0.00028211912,-0.34561914,0.1836741,-0.15542735,-0.00022804952
-0.00133072,0.020787,-9.79703,0.93836504,0.0021545,-0.000282077,-0.34563902,0.18366772,-0.15543488,-0.00022740272
-0.0119776,0.0181243,-9.80522,0.9383573,0.0021518006,-0.0002825331,-0.3456601,0.18366092,-0.15544291,-0.00022677287
0.0288395,0.00097628,-9.81516,0.93835026,0.0021510306,-0.0002790471,-0.3456791,0.18365479,-0.15545015,-0.00022824117
-0.00226157,-0.00187101,-9.80572,0.9383411,0.0021499603,-0.00027455503,-0.34570405,0.18364665,-0.15545976,-0.00023012146
-0.0112382,-0.00553175,-9.80929,0.9383356,0.0021563591,-0.00027825288,-0.34571886,0.18364184,-0.15546545,-0.00022951886
-0.00942524,0.00790646,-9.8142,0.93832743,0.002159901,-0.0002822421,-0.34574115,0.1836345,-0.15547411,-0.00022832213
0.00593808,0.0126281,-9.79849,0.93832004,0.00216373,-0.00029256102,-0.34576103,0.18362795,-0.15548187,-0.00022430865
0.000221865,-0.00063383,-9.80807,0.93831384,0.0021701197,-0.00029053693,-0.34577793,0.18362232,-0.1554885,-0.00022629475
0.0249988,-0.011516,-9.82049,0.9383064,0.002172411,-0.0002889131,-0.34579813,0.18361557,-0.15549648,-0.00022742839
0.00550256,0.00366187,-9.82706,0.93829906,0.00216823,-0.000287239,-0.345818,0.18360887,-0.15550438,-0.00022751794
0.0198196,0.0105344,-9.81348,0.9382924,0.0021706708,-0.00028436712,-0.34583613,0.18360274,-0.15551163,-0.00022923877
-0.0209004,-0.009554,-9.78023,0.938284,0.0021643299,-0.00028725798,-0.345859,0.18359497,-0.1555208,-0.00022691207
-0.0187617,-0.0028232,-9.82418,0.93827665,0.0021609592,-0.0002861159,-0.34587887,0.18358816,-0.15552884,-0.00022689532
0.0144817,-0.0168571,-9.81932,0.9382729,0.0021589398,-0.00029125696,-0.34588897,0.18358454,-0.1555331,-0.00022425034
-0.00693218,-0.0101518,-9.79913,0.9382637,0.0021621594,-0.00029532492,-0.3459139,0.18357597,-0.15554322,-0.0002229708
0.00493538,-0.01762,-9.8092,0.93825483,0.0021673096,-0.00029695494,-0.34593794,0.18356767,-0.15555303,-0.00022311104
0.0121485,0.0114408,-9.80506,0.93824786,0.0021665397,-0.00029523796,-0.34595695,0.18356104,-0.15556085,-0.00022378286
-0.00589762,0.0116171,-9.81907,0.9382412,0.0021649003,-0.00030062607,-0.34597507,0.1835547,-0.15556833,-0.00022109831
-0.0217266,-0.00281837,-9.80369,0.9382349,0.0021670498,-0.00031039698,-0.34599197,0.18354876,-0.15557534,-0.00021705592
-0.0178076,0.0141134,-9.82746,0.93822855,0.0021713714,-0.0003192582,-0.3460092,0.18354274,-0.15558244,-0.00021378347
