ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
0.0154289,0.091038,-9.73648,0.7194327,-0.00058837375,-0.0005260358,0.6945617,79.9912,-0.000315551,50.2088,0.15913628,0.019795453,1.2713715e-05,-0.0072399,0.00145165,0.0192375
0.0672055,-0.0320856,-9.79711,0.71937186,-0.0006139909,-0.00033760292,0.69462484,79.9922,-0.000301881,50.2414,0.15917955,0.019773675,-3.8672428e-05,0.00449786,0.00613155,0.00351023
-0.0532606,-0.0361669,-9.79404,0.71931,-0.00043829,-0.000349058,0.694689,79.9932,-0.000279974,50.2238,0.15921302,0.019747425,4.136976e-07,0.00473684,-0.00521392,0.00359057
-0.0492236,-0.0163036,-9.88572,0.7192486,-0.00031624784,-0.0003899028,0.69475263,79.994,-0.000259444,50.2084,0.15926011,0.019731872,3.4859615e-05,0.00237628,-0.00456839,0.00351348
0.0135887,-0.0529988,-9.84636,0.7191887,-0.0002425819,-0.00027138388,0.6948147,79.9946,-0.000232221,50.1424,0.15929906,0.019717934,2.0063333e-05,0.00541323,0.00136085,0.0034558
0.0135712,0.0214328,-9.81565,0.71912825,-0.0002902251,-0.0002721361,0.69487727,79.9952,-0.00020673,50.0847,0.159335,0.01970515,1.0624351e-05,-0.00139139,0.00130124,0.00346179
0.00172584,0.0211649,-9.83599,0.7190668,-0.00031581192,-0.00029139893,0.6949408,79.9955,-0.000178205,49.9903,0.15936908,0.019689327,1.0055357e-05,-0.00127144,0.000155654,0.00355862
-0.0640927,0.0343656,-9.79525,0.7190058,-0.00026027794,-0.0004427449,0.69500387,79.9958,-0.000151507,49.9077,0.15941104,0.019676067,5.8428654e-05,-0.00260978,-0.00589832,0.00350369
0.0550571,-0.0353066,-9.85044,0.71894395,-0.000281439,-0.00027929997,0.69506794,79.9962,-0.00013117,49.8418,0.15945882,0.01967019,1.2663704e-05,0.00393568,0.00528725,0.00353584
0.0216171,0.0550367,-9.81258,0.71888196,-0.000393818,-0.00031825298,0.69513196,79.9965,-0.000112127,49.7841,0.15949944,0.019668639,-3.3349465e-07,-0.00431475,0.00200283,0.0035648
-0.0198417,-0.029622,-9.81266,0.71889573,-0.0002993309,-0.0002926299,0.6951178,79.9968,-9.56531e-05,49.7265,0.1595351,0.019692283,1.254236e-05,0.0034295,-0.00189004,-0.000775189
-0.0187639,0.0213411,-9.82658,0.7188343,-0.00028777713,-0.00034066115,0.6951813,79.9972,-8.02245e-05,49.6761,0.15955244,0.01966844,2.8056107e-05,-0.00100323,-0.00170392,0.00354492
