time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:52:22.023Z,0.314789651,-0.0364506859,-9.71416428,-0.012905523,-0.0432741239,-0.00688655395
2025-09-22T07:52:22.028Z,0.306402003,-0.0387435053,-9.71491565,-0.0129956923,-0.0420801127,-0.00623919181
2025-09-22T07:52:22.033Z,0.302848107,-0.0473801883,-9.71137881,-0.0125962744,-0.0415562673,-0.00607619282
2025-09-22T07:52:22.038Z,0.297788164,-0.0512016292,-9.71274268,-0.0124526621,-0.0418372991,-0.00655782009
2025-09-22T07:52:22.043Z,0.295439616,-0.0526108082,-9.71862132,-0.0131125181,-0.0415666912,-0.00589586953
2025-09-22T07:52:22.048Z,0.292312086,-0.0509817477,-9.7227977,-0.0135480643,-0.0409613131,-0.00460578796
2025-09-22T07:52:22.053Z,0.29012356,-0.0551885509,-9.72037476,-0.0143561564,-0.0409487193,-0.00439860438
2025-09-22T07:52:22.058Z,0.292627014,-0.0625374618,-9.72009482,-0.0149259244,-0.0407052433,-0.00477998566
2025-09-22T07:52:22.063Z,0.296863481,-0.0582268989,-9.72874797,-0.015372407,-0.0401521418,-0.00468249698
2025-09-22T07:52:22.068Z,0.29262377,-0.0556061415,-9.72844976,-0.0153948323,-0.0389160039,-0.00414234009
2025-09-22T07:52:22.073Z,0.284465603,-0.0614129234,-9.71861036,-0.0147208108,-0.0385716891,-0.00340241106
2025-09-22T07:52:22.078Z,0.271184223,-0.0623854399,-9.72231822,-0.0143558652,-0.0385198693,-0.00317644316
2025-09-22T07:52:22.083Z,0.258572533,-0.0548073456,-9.73216347,-0.014851568,-0.0378212184,-0.00334022908
2025-09-22T07:52:22.088Z,0.248790758,-0.048993169,-9.72521479,-0.0153857674,-0.0371812709,-0.00305079262
2025-09-22T07:52:22.093Z,0.253138802,-0.0532251941,-9.72036818,-0.0160137478,-0.036618622,-0.00262431739
2025-09-22T07:52:22.098Z,0.256283188,-0.0555402861,-9.73063296,-0.0164627729,-0.0360751707,-0.00244283922
2025-09-22T07:52:22.103Z,0.254031644,-0.0545921349,-9.73054453,-0.0167859457,-0.0360980628,-0.00228531807
2025-09-22T07:52:22.108Z,0.243179943,-0.0594344917,-9.71994133,-0.0169468641,-0.0349644481,-0.0027581888
2025-09-22T07:52:22.113Z,0.239346568,-0.0583940585,-9.72209603,-0.0171780347,-0.0336404792,-0.00238955939
