time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T08:07:47.593Z,0.396035662,0.966950124,-9.86062461,0.0735597316,-0.00262193786,0.0121510109
2025-09-22T08:07:47.598Z,0.389013247,0.948338711,-9.83481865,0.076408205,-0.00222259077,0.012012879
2025-09-22T08:07:47.603Z,0.404704114,0.929096437,-9.81406031,0.0786225924,-0.000886102991,0.0127250602
2025-09-22T08:07:47.608Z,0.424861613,0.94571861,-9.80830738,0.0808283632,-0.00121913536,0.0130541117
2025-09-22T08:07:47.613Z,0.420391462,0.966604042,-9.79978214,0.0846865091,-0.00271370139,0.0127947185
2025-09-22T08:07:47.618Z,0.40948508,0.957298655,-9.80606205,0.0883950942,-0.00353734813,0.0133369179
2025-09-22T08:07:47.623Z,0.4297968,0.925851233,-9.83788406,0.0920804675,-0.00388181708,0.0131719425
2025-09-22T08:07:47.628Z,0.463558669,0.899230596,-9.85890553,0.0956417416,-0.00399914433,0.0138526377
2025-09-22T08:07:47.633Z,0.488713984,0.876201154,-9.81671933,0.0990887437,-0.00426060345,0.0146098579
2025-09-22T08:07:47.638Z,0.491903138,0.852560861,-9.73648895,0.102563988,-0.00521244907,0.0147507035
2025-09-22T08:07:47.643Z,0.482052041,0.825432339,-9.72061961,0.105519173,-0.00575662271,0.0147827133
2025-09-22T08:07:47.648Z,0.485986441,0.814089654,-9.7505727,0.107045457,-0.00636949292,0.0150024336
2025-09-22T08:07:47.653Z,0.49551754,0.833399992,-9.74337843,0.108583526,-0.00623525678,0.0154369248
2025-09-22T08:07:47.658Z,0.51638479,0.837802398,-9.7044389,0.111208297,-0.00596440122,0.0165870833
2025-09-22T08:07:47.663Z,0.515646397,0.800700444,-9.67181875,0.115018889,-0.00587695316,0.017204547
2025-09-22T08:07:47.668Z,0.489234661,0.758396798,-9.67162652,0.118760696,-0.006102314,0.0164222421
2025-09-22T08:07:47.673Z,0.468354802,0.744484764,-9.71970233,0.121227056,-0.00673480686,0.0164569813
2025-09-22T08:07:47.678Z,0.456465265,0.75933048,-9.75434927,0.122772856,-0.00748413696,0.0170303496
