timestamp,roll,pitch,heading,heave,roll_rate,pitch_rate,yaw_rate,velocity_north,velocity_east,velocity_down
2025-09-22T08:37:07.780000Z,-2.36,1.9,246.19,0.03,0.28,-0.82,0.43,-0.19925004774071636,0.051418276294351285,0.03
2025-09-22T08:37:08.080000Z,-0.9,1.7,246.21,0.04,7.39,-0.26,-0.24,-0.1504500322005465,0.03440238993288866,0.05
2025-09-22T08:37:08.380000Z,1.02,1.9,246.12,0.04,3.96,1.2,-0.19,-0.19968249091222057,0.0497124077555187,-0.0
2025-09-22T08:37:08.680000Z,0.51,2.17,246.16,0.03,-5.47,0.3,0.11,-0.19742559586819247,0.05803063637294649,-0.06
2025-09-22T08:37:08.980000Z,-1.54,1.88,245.98,0.02,-5.7,-1.62,-1.11,-0.09910346831651783,0.027651541242342134,-0.02
2025-09-22T08:37:09.280000Z,-1.95,1.53,245.72,0.03,1.76,-0.28,-0.49,-0.09994448667083089,0.0244377730070501,0.07
2025-09-22T08:37:09.580000Z,-0.87,1.87,245.73,0.04,3.86,1.87,0.22,-0.19902379718150745,0.05228717641271319,0.07
2025-09-22T08:37:09.880000Z,-0.13,2.28,245.7,0.05,1.51,0.43,-0.45,-0.19839877287169078,0.05461087423551522,-0.05
2025-09-22T08:37:10.180000Z,0.11,1.9,245.36,0.02,0.49,-2.07,-1.52,-0.14869855589692366,0.0413216177854821,-0.08
2025-09-22T08:37:10.480000Z,-0.16,1.48,245.06,0.01,-2.32,-0.4,-0.31,-0.14719828654036993,0.04638319805510562,0.04
2025-09-22T08:37:10.780000Z,-1.38,1.86,245.12,0.03,-4.56,2.17,0.06,-0.14751059451147366,0.04538018432214218,0.09
2025-09-22T08:37:11.080000Z,-2.06,2.36,244.77,0.05,0.53,0.74,-1.93,-0.101492522555781,0.016892987619254434,-0.01
2025-09-22T08:37:11.380000Z,-0.8,2.01,244.2,0.02,5.98,-2.11,-1.49,-0.14781606800243877,0.0443750680285495,-0.1
2025-09-22T08:37:11.680000Z,0.58,1.42,244.06,-0.0,2.28,-1.24,0.02,-0.19123448276890245,0.07598548059906154,-0.03
2025-09-22T08:37:11.980000Z,0.1,1.56,243.9,0.01,-3.75,1.57,-1.23,-0.14811469286002765,0.04336789574350677,0.09
2025-09-22T08:37:12.280000Z,-1.18,2.2,243.27,0.04,-3.7,2.12,-2.38,-0.10261511388008215,0.007499571242262566,0.08
2025-09-22T08:37:12.580000Z,-1.64,2.38,242.67,0.04,0.21,-0.65,-1.57,-0.09930819792983048,0.02690700632492609,-0.06
2025-09-22T08:37:12.880000Z,-1.05,1.71,242.4,0.01,2.81,-2.79,-0.71,-0.1895872611104017,0.08000681899948509,-0.12
2025-09-22T08:37:13.180000Z,-0.33,1.19,242.1,-0.01,1.65,-0.26,-1.37,-0.14554370965948035,0.05133970394146117,0.01
2025-09-22T08:37:13.480000Z,-0.23,1.83,241.59,0.02,-0.36,3.46,-1.92,-0.1514719083756802,0.02958035826810659,0.14
2025-09-22T08:37:13.780000Z,-0.46,2.66,240.94,0.05,-0.76,1.35,-2.18,-0.1017211916339903,0.01545653059392771,0.05
2025-09-22T08:37:14.080000Z,-0.74,2.1,240.35,0.03,-1.02,-3.64,-1.69,-0.14443661188219045,0.05437648177506045,-0.15
2025-09-22T08:37:14.380000Z,-1.17,1.11,239.94,-0.02,-1.46,-1.94,-1.27,-0.1435943206028834,0.0565633071242863,-0.09
