time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T08:18:43.573Z,0.287000165,-0.0822224159,-9.90687462,0.022791276,-0.0515751944,-0.0163969803
2025-09-22T08:18:43.578Z,0.285295679,-0.0846707547,-9.90316237,0.0221613913,-0.0517453746,-0.0170913899
2025-09-22T08:18:43.583Z,0.286912023,-0.081934155,-9.9102989,0.0213404142,-0.0510664124,-0.0181662398
2025-09-22T08:18:43.588Z,0.282286487,-0.0742566638,-9.90138336,0.020823007,-0.050185036,-0.0177245923
2025-09-22T08:18:43.593Z,0.269733543,-0.0718477937,-9.88468882,0.0204867893,-0.0498442701,-0.016858956
2025-09-22T08:18:43.598Z,0.265520167,-0.0765111823,-9.88060162,0.0194418136,-0.0495529999,-0.0168463636
2025-09-22T08:18:43.603Z,0.267369029,-0.0797894945,-9.8808494,0.0184029236,-0.0482221759,-0.017291126
2025-09-22T08:18:43.608Z,0.262465773,-0.0855345038,-9.86540763,0.0178718462,-0.047228666,-0.017820015
2025-09-22T08:18:43.613Z,0.247288571,-0.0940553303,-9.84872552,0.0169202604,-0.0465162165,-0.0176391096
2025-09-22T08:18:43.618Z,0.235130862,-0.10198926,-9.84961576,0.0163024484,-0.0455736213,-0.0181674189
2025-09-22T08:18:43.623Z,0.23455715,-0.0960472094,-9.84799535,0.0149552647,-0.0450640514,-0.0185528084
2025-09-22T08:18:43.628Z,0.234830074,-0.0926940825,-9.82820691,0.0134360665,-0.0449431042,-0.0189784689
2025-09-22T08:18:43.633Z,0.230683073,-0.091186306,-9.8168582,0.0121168198,-0.044279134,-0.0183220718
2025-09-22T08:18:43.638Z,0.228515766,-0.0811625624,-9.81740711,0.0115232882,-0.0428601821,-0.0187200351
2025-09-22T08:18:43.643Z,0.221614019,-0.0778256238,-9.8031187,0.0108880009,-0.0423194403,-0.0188834516
2025-09-22T08:18:43.648Z,0.22382534,-0.0868185901,-9.78450775,0.00969944869,-0.0416078958,-0.0187654452
2025-09-22T08:18:43.653Z,0.22642397,-0.0915516313,-9.78106081,0.00836051054,-0.0402640269,-0.0188279059
