timestamp,N1,N2,alpha1,alpha2
2025-09-22T07:38:39.166294Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.166294Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.166294Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.166294Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.216364Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.216374Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.216374Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.216374Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.266444Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.266454Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.266454Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.266454Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.316534Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.316534Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.316534Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.316534Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.366614Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.416734Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.416734Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.416734Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.416734Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.466834Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.466834Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.466834Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.466834Z,0.000000,0.000000,0.000000,0.000000
